Furcht,0.6428571428571428
Mitleid,0.6031746031746031
Verachtung,0.6428571428571428
Langeweile,0.5634920634920635
Zorn,0.6428571428571428
Wut,0.7222222222222222
Empörung,0.6428571428571428
Widerwillen,0.5634920634920635
Genuß,0.5634920634920635
Haß,0.5634920634920635
Grauen,0.6428571428571428
Faszination,0.6031746031746031
Scham,0.6031746031746031
Schrecken,0.6031746031746031
Trauer,0.7222222222222222
Abneigung,0.6825396825396826
Horror,0.5634920634920635
Entsetzen,0.7619047619047619
Hass,0.6031746031746031
Abscheu,1.0
Ekel,0.6349206349206349
Widerwille,0.5952380952380952
Schauder,0.5555555555555556
Degout,0.5555555555555556
Antipathie,0.5952380952380952
