zorn,0.5604395604395604
wut,0.5604395604395604
abschaum,0.5054945054945055
empor,0.5054945054945055
demut,0.7252747252747253
hohn,1.0
bewund,0.5604395604395604
hochmut,0.5054945054945055
hass,0.6153846153846154
verehr,0.5054945054945055
arroganz,0.5604395604395604
neid,0.5604395604395604
veracht,0.5494505494505495
feigling,0.5054945054945055
groll,0.5054945054945055
ekel,0.6153846153846154
abneig,0.7252747252747253
gleichgult,0.7802197802197802
feindsel,0.6153846153846154
beleid,0.7252747252747253
geringschatz,0.8241758241758242
ablehn,0.6153846153846154
unverschamt,0.5604395604395604
verhohn,0.6593406593406593
abscheu,0.7252747252747253
pobel,0.6153846153846154
diskrimini,0.7252747252747253
spott,0.7142857142857143
herablass,0.6593406593406593
zynismus,0.6593406593406593
missacht,0.6043956043956045
ignoranz,0.6043956043956045
verleumd,0.5494505494505495
herabsetz,0.7142857142857143
geringacht,0.6043956043956045
naserumpf,0.6043956043956045
nichtacht,0.5494505494505495
despektion,0.5494505494505495
